"","IsWinner","track_id","artist_id","track_name","year","artist_name","genres","followers","acousticness","danceability","duration_ms","energy","instrumentalness","key","liveness","loudness","mode","tempo","time_signature","valence"
"87","Nominee","3rrrMhc76FDnS4N7wu2KfH","7MpUvihmfilIxyN20kXwQj","Everything Is Beautiful - 1970 #1 Billboard chart hit",1970,"Ray Stevens","classic country pop",78318,0.514,0.37,212773,0.378,0,5,0.222,-15.178,1,112.159,4,0.722
"88","Nominee","50q2aUjWoTn6CJIfSPRJQA","1eEfMU2AhEo7XnKgL7c304","(They Long To Be) Close To You",1970,"Carpenters","adult standards",2817662,0.707,0.532,276000,0.244,4.56e-05,8,0.122,-14.652,1,89.327,4,0.238
"89","Nominee","7KMILVTQdVS4zQ8ilTcpRO","3IKV7o6WPphDB7cCWXaG3E","Theme From Shaft - Remastered",1971,"Isaac Hayes","classic soul",642603,0.233,0.487,279200,0.716,0.00445,9,0.113,-17.689,0,120.795,4,0.819
"90","Nominee","6vE90mi4yKsQGY3YD2OOv1","7FIoB5PHdrMZVC3q2HE5MS","My Sweet Lord - 2014 Remaster",1970,"George Harrison","album rock",2434649,0.083,0.539,281232,0.69,0,1,0.0847,-9.019,0,120.983,4,0.553
"91","Nominee","2ymeOsYijJz09LfKw3yM2x","4FAEZeJcsYYBkNq2D3KGTV","Joy To The World",1970,"Three Dog Night","album rock",882738,0.464,0.649,220573,0.679,0.00121,2,0.339,-12.515,1,126.867,4,0.971
"92","Winner","12q3V8ShACq2PSWINMc2rC","319yZVtYM9MBGqmSQnMyY6","It's Too Late",1971,"Carole King","brill building pop",1382762,0.493,0.45,233173,0.442,0.00564,9,0.134,-12.718,0,208.282,4,0.812
"93","Nominee","5YwgJ6lpZ3SiAQwBEpjqey","502FY8XQYRxClWgolQ3Hf2","Rose Garden",1971,"Lynn Anderson","classic country pop",125359,0.168,0.589,175867,0.501,0,0,0.0741,-11.665,1,131.064,4,0.969
"94","Nominee","6rtIf2peTj5KMl7o6G0ldg","4NgfOZCL9Ml67xzM0xzIvC","Me and Bobby McGee",2012,"Janis Joplin","album rock",3086466,0.281,0.513,269787,0.468,5.47e-05,2,0.14,-10.992,1,93.032,4,0.69
"95","Nominee","2XWmbwp9FBAaFcSE9BLQzc","5kZDCAD5zLelf8NYHoRSHS","Help Me Make It Through The Night",1996,"Sammi Smith","classic country pop",25671,0.605,0.559,155533,0.35,0.000443,8,0.102,-12.01,1,78.035,4,0.413
"96","Nominee","6MrILERJLA3Jcq0E9poZsp","3RTzAwFprBqiskp550eSJX","Without You",1971,"Harry Nilsson","classic rock",440221,0.613,0.381,201000,0.186,2.75e-06,4,0.0694,-15.477,1,65.058,4,0.142
"97","Winner","0SxFyA4FqmEQqZVuAlg8lf","0W498bDDNlJIrYMKXdpLHA","The First Time Ever I Saw Your Face",1969,"Roberta Flack","adult standards",889986,0.731,0.311,260666,0.0264,0.00205,0,0.156,-21.644,1,120.653,4,0.139
"98","Nominee","57KfogSy3eKuk5JHLKwCJv","7mEIug7XUlQHikrFxjTWes","Song Sung Blue",2014,"Neil Diamond","adult standards",2383083,0.276,0.594,185653,0.529,3.92e-05,0,0.148,-9.338,1,109.703,4,0.511
"99","Nominee","1fDsrQ23eTAVFElUMaf38X","1gRNBaI4yn6wCCTvRhGWh8","American Pie",1971,"Don McLean","classic rock",872657,0.699,0.531,516893,0.481,0,4,0.0842,-11.709,0,138.45,4,0.491
"100","Nominee","6vuEG9sZtC4W2zT64f7zLF","4HVmeVTQBgvTuvjB1JYwaf","Alone Again (Naturally)",1972,"Gilbert O'Sullivan","adult standards",333760,0.583,0.558,217729,0.464,0.000133,8,0.159,-8.488,0,171.762,4,0.558
"101","Nominee","140aVXe6bCu6ZP1blwp8L4","1bgyxtWjZwA5PQlDsvs9b8","The Summer Knows",1991,"Sarah Vaughan","jazz",597620,0.931,0.236,184842,0.297,4.01e-05,10,0.118,-11.891,0,132.02,4,0.105
"102","Nominee","2DnJjbjNTV9Nd5NOa1KGba","4FtSnMlCVxCswABUmdhwpm","You're so Vain",1972,"Carly Simon","classic rock",1018252,0.157,0.659,258411,0.678,6.69e-06,0,0.0784,-8.18,1,106.186,4,0.647
"103","Nominee","0n2pjCIMKwHSXoYfEbYMfX","7guDJrEfX3qb6FEbdPA5qi","You Are The Sunshine Of My Life",1972,"Stevie Wonder","motown",6119476,0.823,0.519,178200,0.46,5.97e-05,11,0.243,-14.53,1,132.082,4,0.675
